waveform,theta,seed,architecture,nrmse_slow,nrmse_fast
broadband,0.2,1,serial_force,0.21749209991932716,0.8241051142093332
broadband,0.2,1,parallel,0.20607333232815084,0.9334176856027117
broadband,0.2,2,serial_force,0.1835790162356095,0.8220362270799673
broadband,0.2,2,parallel,0.20703089836344887,0.9286905766890461
broadband,0.2,3,serial_force,0.2169708874252038,0.7880706776096916
broadband,0.2,3,parallel,0.1617469979527735,0.8958613767107012
broadband,0.2,4,serial_force,0.1651610822600439,0.7834229043913751
broadband,0.2,4,parallel,0.16923153967447027,0.9160628211268149
broadband,0.2,5,serial_force,0.2650347953655402,0.7427844500388991
broadband,0.2,5,parallel,0.2536462980627368,0.8537013880369964
broadband,0.2,6,serial_force,0.3150834784743656,0.7187896266759902
broadband,0.2,6,parallel,0.29063408320314343,0.8626967035800599
broadband,0.4,1,serial_force,0.20568155105858799,0.8184786938168309
broadband,0.4,1,parallel,0.20482657189129228,0.912563664854153
broadband,0.4,2,serial_force,0.18259648108857893,0.806981260545289
broadband,0.4,2,parallel,0.2063992752340011,0.9045661065386844
broadband,0.4,3,serial_force,0.24475379462470156,0.7746552344418779
broadband,0.4,3,parallel,0.1621264309952531,0.853361035789503
broadband,0.4,4,serial_force,0.18313616923117954,0.7801208419296121
broadband,0.4,4,parallel,0.1693431189377695,0.8719878631247204
broadband,0.4,5,serial_force,0.27027523582361634,0.7111690910159736
broadband,0.4,5,parallel,0.2528840431078678,0.8273760834474266
broadband,0.4,6,serial_force,0.31848998600263245,0.6895233326774377
broadband,0.4,6,parallel,0.28976535009141835,0.8224416768655326
broadband,0.8,1,serial_force,0.2088319020750023,0.7900125185591818
broadband,0.8,1,parallel,0.20691876555465757,0.8468571595083773
broadband,0.8,2,serial_force,0.21686971270611013,0.7807258676137011
broadband,0.8,2,parallel,0.2076715480604139,0.8499040163782832
broadband,0.8,3,serial_force,0.35684873899391323,0.7705784112928116
broadband,0.8,3,parallel,0.16267258483347533,0.8217583575829376
broadband,0.8,4,serial_force,0.2308820243791794,0.7704340313636511
broadband,0.8,4,parallel,0.16959669243945164,0.8324307461642241
broadband,0.8,5,serial_force,0.4038745537283652,0.6611331691325034
broadband,0.8,5,parallel,0.25320885581138464,0.7552886175811467
broadband,0.8,6,serial_force,0.3143321908985426,0.670845249855107
broadband,0.8,6,parallel,0.2903052933022348,0.762262483538334
broadband,1.5,1,serial_force,0.5448800592613707,0.8424315650458879
broadband,1.5,1,parallel,0.21189991856522755,0.8565961454605534
broadband,1.5,2,serial_force,0.3361289027844384,0.8135595930008366
broadband,1.5,2,parallel,0.21050608293212658,0.8464187920563492
broadband,1.5,3,serial_force,0.6160918302510421,0.8102249927421872
broadband,1.5,3,parallel,0.1633209346357297,0.8335981340452631
broadband,1.5,4,serial_force,0.5871927572545717,0.803488143170844
broadband,1.5,4,parallel,0.17169524393456456,0.8381296600206821
broadband,1.5,5,serial_force,0.571643321762786,0.6997446079349965
broadband,1.5,5,parallel,0.2553021132201246,0.7587668723486364
broadband,1.5,6,serial_force,0.5589661793006195,0.7236654100807939
broadband,1.5,6,parallel,0.29510878570125093,0.7944081755804244
broadband,3.0,1,serial_force,0.33494785521359816,0.8097019660732371
broadband,3.0,1,parallel,0.20838636444951703,0.8530243274824925
broadband,3.0,2,serial_force,0.22890326983631867,0.7880781078701464
broadband,3.0,2,parallel,0.20881626863822064,0.8549124765330687
broadband,3.0,3,serial_force,0.46397248454837736,0.7915441625494364
broadband,3.0,3,parallel,0.16344832877625645,0.8703885965461318
broadband,3.0,4,serial_force,0.3210787930855511,0.7964874206849284
broadband,3.0,4,parallel,0.16991442292396752,0.863075871969224
broadband,3.0,5,serial_force,0.31064767703768736,0.6949992196650896
broadband,3.0,5,parallel,0.2540161574244588,0.8151241448087085
broadband,3.0,6,serial_force,0.3127976865887948,0.6749664391998381
broadband,3.0,6,parallel,0.29027461947558614,0.816972502501323
broadband,6.0,1,serial_force,0.2215087318450477,0.9032468645467198
broadband,6.0,1,parallel,0.20501867155015044,0.9247950159785935
broadband,6.0,2,serial_force,0.22397736869965013,0.8847410475007769
broadband,6.0,2,parallel,0.20774170099403297,0.9078677409805826
broadband,6.0,3,serial_force,0.2540006278400205,0.8992947241610143
broadband,6.0,3,parallel,0.16206228032306264,0.907594435356721
broadband,6.0,4,serial_force,0.23060636816321306,0.8790677488274501
broadband,6.0,4,parallel,0.16947195060348658,0.9166807696132766
broadband,6.0,5,serial_force,0.293877390634334,0.8784716943093772
broadband,6.0,5,parallel,0.2520907533545474,0.8864225099164652
broadband,6.0,6,serial_force,0.31323019754930764,0.8504589315409279
broadband,6.0,6,parallel,0.28911312121222543,0.8986260222165494
