depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.75,1.4628145415628584,4,esn_matched,0.3399251383695972,0.8409270044944634
0.75,1.4628145415628584,5,serial_force,0.2593052482108507,0.7217257819977579
0.75,1.4628145415628584,5,esn_matched,0.34630549104393654,0.7787383529781675
0.75,1.4628145415628584,6,serial_force,0.27769255244328145,0.716221318258703
0.75,1.4628145415628584,6,esn_matched,0.37006462440046517,0.7881825679852302
1.0,1.9397056242363455,1,serial_force,0.17599699627154636,0.792133224042435
1.0,1.9397056242363455,1,esn_matched,0.3314293854490749,0.933408183072929
1.0,1.9397056242363455,2,serial_force,0.17788126725865677,0.7607335160614993
1.0,1.9397056242363455,2,esn_matched,0.33837240961902937,0.8826894732730731
1.0,1.9397056242363455,3,serial_force,0.18285408658458738,0.7850360183369115
1.0,1.9397056242363455,3,esn_matched,0.3406475658473838,0.9237518026019487
1.0,1.9397056242363455,4,serial_force,0.17155155012195378,0.7875146554290344
1.0,1.9397056242363455,4,esn_matched,0.3399251383695972,0.917820410552931
1.0,1.9397056242363455,5,serial_force,0.2593052482108507,0.7477446428831768
1.0,1.9397056242363455,5,esn_matched,0.34630549104393654,0.8506946348830572
1.0,1.9397056242363455,6,serial_force,0.27769255244328145,0.7397288666413094
1.0,1.9397056242363455,6,esn_matched,0.37006462440046517,0.8808105096572113
