depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
1.0,2.0042512586607644,6,parallel,0.40342713412779246,0.8912195916337756
1.0,2.0042512586607644,6,all_optical,0.6977490753076357,0.8461684219028848
1.0,2.0042512586607644,6,esn_matched,0.3709564477518164,0.8430908768844043
1.5,1.6246918859523687,1,serial_force,0.3380762981147203,0.8935265061822674
1.5,1.6246918859523687,1,parallel,0.34001415974700444,0.9967463309766357
1.5,1.6246918859523687,1,all_optical,0.7047496603947296,0.8908787934295666
1.5,1.6246918859523687,1,esn_matched,0.36146684604654,0.9169650184638448
1.5,1.6246918859523687,2,serial_force,0.3287242522265938,0.8903637787157563
1.5,1.6246918859523687,2,parallel,0.3327286161894218,0.9612453784230062
1.5,1.6246918859523687,2,all_optical,0.7357569234427201,0.8147994470184453
1.5,1.6246918859523687,2,esn_matched,0.3620082472239034,0.9025629452869552
1.5,1.6246918859523687,3,serial_force,0.3757618866575689,0.873028315344372
1.5,1.6246918859523687,3,parallel,0.3679822733804587,0.9694607002708981
1.5,1.6246918859523687,3,all_optical,0.7177106869804823,0.8708166484295735
1.5,1.6246918859523687,3,esn_matched,0.35094583971346155,0.9115786057840186
1.5,1.6246918859523687,4,serial_force,0.3215407826941749,0.8888026063749553
1.5,1.6246918859523687,4,parallel,0.397993888055694,0.9521223057146667
1.5,1.6246918859523687,4,all_optical,0.7028762917426972,0.8512728637199187
1.5,1.6246918859523687,4,esn_matched,0.36454965155408997,0.8875500035027494
1.5,1.6246918859523687,5,serial_force,0.47120886308335674,0.8619392310543407
1.5,1.6246918859523687,5,parallel,0.3873212146435883,0.9002904945415365
1.5,1.6246918859523687,5,all_optical,0.7127511609401798,0.863596099858239
1.5,1.6246918859523687,5,esn_matched,0.3637949411556048,0.8913060660445143
1.5,1.6246918859523687,6,serial_force,0.32414475038222335,0.8664026473900044
1.5,1.6246918859523687,6,parallel,0.40342713412779246,0.8940820389887321
1.5,1.6246918859523687,6,all_optical,0.6977490753076357,0.8549885239117964
1.5,1.6246918859523687,6,esn_matched,0.3709564477518164,0.8821803133437229
2.0,1.361775113452069,1,serial_force,0.3380762981147203,0.9016080904855283
2.0,1.361775113452069,1,parallel,0.34001415974700444,1.0032340182356747
2.0,1.361775113452069,1,all_optical,0.7047496603947296,0.899132335574252
2.0,1.361775113452069,1,esn_matched,0.36146684604654,0.9461218563658832
2.0,1.361775113452069,2,serial_force,0.3287242522265938,0.900137722960814
2.0,1.361775113452069,2,parallel,0.3327286161894218,0.9750386804240159
2.0,1.361775113452069,2,all_optical,0.7357569234427201,0.8200804307971445
2.0,1.361775113452069,2,esn_matched,0.3620082472239034,0.9269868151803461
2.0,1.361775113452069,3,serial_force,0.3757618866575689,0.8752379565409799
2.0,1.361775113452069,3,parallel,0.3679822733804587,0.9637209236997006
2.0,1.361775113452069,3,all_optical,0.7177106869804823,0.8756578303152515
2.0,1.361775113452069,3,esn_matched,0.35094583971346155,0.9400668025807368
2.0,1.361775113452069,4,serial_force,0.3215407826941749,0.8975232334174926
2.0,1.361775113452069,4,parallel,0.397993888055694,0.9645338669579556
2.0,1.361775113452069,4,all_optical,0.7028762917426972,0.8545174110606633
2.0,1.361775113452069,4,esn_matched,0.36454965155408997,0.911675152771935
2.0,1.361775113452069,5,serial_force,0.47120886308335674,0.867571969692463
2.0,1.361775113452069,5,parallel,0.3873212146435883,0.9079637932926488
2.0,1.361775113452069,5,all_optical,0.7127511609401798,0.8729164916758585
2.0,1.361775113452069,5,esn_matched,0.3637949411556048,0.9128395263235918
2.0,1.361775113452069,6,serial_force,0.32414475038222335,0.871621551240531
2.0,1.361775113452069,6,parallel,0.40342713412779246,0.899195673666587
2.0,1.361775113452069,6,all_optical,0.6977490753076357,0.8637812504014323
2.0,1.361775113452069,6,esn_matched,0.3709564477518164,0.904771224737853
