task,architecture,seed,nrmse_slow,nrmse_fast
real_ecg,acoustic_only,3,0.4922018360341258,1.0000049247667826
real_ecg,parallel,3,0.3674617224457158,0.9854615045882448
real_ecg,serial_force,3,0.37630411261584407,0.9194967730196785
real_ecg,esn_matched,4,0.364422081827871,0.7589156857439769
real_ecg,esn_small,4,0.3581520291486314,0.7504030789875537
real_ecg,optical_only,4,0.4733038226792454,0.911544152081021
real_ecg,acoustic_only,4,0.5004022841995314,1.000011132194294
real_ecg,parallel,4,0.39747312101175425,0.9213674774359109
real_ecg,serial_force,4,0.32939786199188575,0.9043828117055939
real_ecg,esn_matched,5,0.36379159009617945,0.7513334701117789
real_ecg,esn_small,5,0.37628274431600567,0.7667051124650751
real_ecg,optical_only,5,0.5190062905839256,0.9524517666605803
real_ecg,acoustic_only,5,0.4684255746900177,1.00000127953728
real_ecg,parallel,5,0.38708576859991506,0.9289329726283658
real_ecg,serial_force,5,0.4727467746862722,0.9210115683557898
real_ecg,esn_matched,6,0.37097120177755694,0.7386872274297056
real_ecg,esn_small,6,0.3852201090030425,0.7553350883009996
real_ecg,optical_only,6,0.5126081132318389,0.9410638678946108
real_ecg,acoustic_only,6,0.49767051584488087,1.0000044279990639
real_ecg,parallel,6,0.40323304592757225,0.9283145988954501
real_ecg,serial_force,6,0.32817672544573345,0.9090852878815202
