config_id,architecture,task,optical_theta,acoustic_c,n_reservoir,readout_reg,theta2,nrmse_primary,nrmse_slow,nrmse_fast,nrmse_std,ci_95,n_successful,n_total
77,parallel,narma10,0.2,1.0,300,1e-06,N/A,0.6574,0.6574,N/A,0.0282,0.0350,5,5
78,all_optical,dual_timescale,0.2,1.0,300,1e-06,0.5,0.8640,0.4647,0.8640,0.0198,0.0246,5,5
79,all_optical,mackey_glass,0.2,1.0,300,1e-06,0.5,0.0254,0.0254,N/A,0.0045,0.0056,5,5
80,all_optical,narma10,0.2,1.0,300,1e-06,0.5,0.8207,0.8207,N/A,0.0182,0.0225,5,5
81,all_optical,dual_timescale,0.2,1.0,300,1e-06,3.0,0.8734,0.4776,0.8734,0.0181,0.0225,5,5
82,all_optical,mackey_glass,0.2,1.0,300,1e-06,3.0,0.0239,0.0239,N/A,0.0063,0.0078,5,5
83,all_optical,narma10,0.2,1.0,300,1e-06,3.0,0.8222,0.8222,N/A,0.0185,0.0229,5,5
84,serial_force,dual_timescale,0.2,1.0,300,0.001,N/A,0.8351,0.1620,0.8351,0.0248,0.0308,5,5
85,serial_force,mackey_glass,0.2,1.0,300,0.001,N/A,0.0737,0.0737,N/A,0.0193,0.0240,5,5
86,serial_force,narma10,0.2,1.0,300,0.001,N/A,0.6949,0.6949,N/A,0.0275,0.0342,5,5
87,parallel,dual_timescale,0.2,1.0,300,0.001,N/A,0.8875,0.1191,0.8875,0.0178,0.0222,5,5
88,parallel,mackey_glass,0.2,1.0,300,0.001,N/A,0.0872,0.0872,N/A,0.0176,0.0218,5,5
89,parallel,narma10,0.2,1.0,300,0.001,N/A,0.6900,0.6900,N/A,0.0247,0.0307,5,5
90,all_optical,dual_timescale,0.2,1.0,300,0.001,0.5,0.9133,0.5541,0.9133,0.0170,0.0211,5,5
91,all_optical,mackey_glass,0.2,1.0,300,0.001,0.5,0.0881,0.0881,N/A,0.0298,0.0370,5,5
92,all_optical,narma10,0.2,1.0,300,0.001,0.5,0.8477,0.8477,N/A,0.0175,0.0217,5,5
93,all_optical,dual_timescale,0.2,1.0,300,0.001,3.0,0.9151,0.5508,0.9151,0.0172,0.0214,5,5
94,all_optical,mackey_glass,0.2,1.0,300,0.001,3.0,0.0871,0.0871,N/A,0.0324,0.0402,5,5
95,all_optical,narma10,0.2,1.0,300,0.001,3.0,0.8460,0.8460,N/A,0.0198,0.0245,5,5
96,serial_force,dual_timescale,1.0,0.3,100,1e-06,N/A,1.5623,0.6707,1.5623,0.6058,0.7521,5,5
97,serial_force,mackey_glass,1.0,0.3,100,1e-06,N/A,0.0167,0.0167,N/A,0.0044,0.0054,5,5
98,serial_force,narma10,1.0,0.3,100,1e-06,N/A,0.6901,0.6901,N/A,0.0211,0.0262,5,5
99,parallel,dual_timescale,1.0,0.3,100,1e-06,N/A,1.0382,0.5024,1.0382,0.1244,0.1545,5,5
100,parallel,mackey_glass,1.0,0.3,100,1e-06,N/A,0.0188,0.0188,N/A,0.0041,0.0051,5,5
101,parallel,narma10,1.0,0.3,100,1e-06,N/A,0.7107,0.7107,N/A,0.0246,0.0306,5,5
102,all_optical,dual_timescale,1.0,0.3,100,1e-06,0.5,0.7939,0.4198,0.7939,0.0471,0.0584,5,5
103,all_optical,mackey_glass,1.0,0.3,100,1e-06,0.5,0.0143,0.0143,N/A,0.0016,0.0020,5,5
104,all_optical,narma10,1.0,0.3,100,1e-06,0.5,0.8190,0.8190,N/A,0.0174,0.0216,5,5
105,all_optical,dual_timescale,1.0,0.3,100,1e-06,3.0,0.7798,0.4078,0.7798,0.0405,0.0502,5,5
106,all_optical,mackey_glass,1.0,0.3,100,1e-06,3.0,0.0133,0.0133,N/A,0.0015,0.0019,5,5
107,all_optical,narma10,1.0,0.3,100,1e-06,3.0,0.8146,0.8146,N/A,0.0214,0.0266,5,5
108,serial_force,dual_timescale,1.0,0.3,100,0.001,N/A,0.8309,0.2660,0.8309,0.0393,0.0488,5,5
109,serial_force,mackey_glass,1.0,0.3,100,0.001,N/A,0.0437,0.0437,N/A,0.0050,0.0062,5,5
110,serial_force,narma10,1.0,0.3,100,0.001,N/A,0.7128,0.7128,N/A,0.0263,0.0326,5,5
111,parallel,dual_timescale,1.0,0.3,100,0.001,N/A,0.8382,0.2285,0.8382,0.0228,0.0283,5,5
112,parallel,mackey_glass,1.0,0.3,100,0.001,N/A,0.0450,0.0450,N/A,0.0059,0.0074,5,5
113,parallel,narma10,1.0,0.3,100,0.001,N/A,0.7161,0.7161,N/A,0.0291,0.0361,5,5
114,all_optical,dual_timescale,1.0,0.3,100,0.001,0.5,0.8738,0.4898,0.8738,0.0383,0.0475,5,5
115,all_optical,mackey_glass,1.0,0.3,100,0.001,0.5,0.0427,0.0427,N/A,0.0034,0.0042,5,5
116,all_optical,narma10,1.0,0.3,100,0.001,0.5,0.8254,0.8254,N/A,0.0170,0.0212,5,5
117,all_optical,dual_timescale,1.0,0.3,100,0.001,3.0,0.8539,0.4780,0.8539,0.0360,0.0447,5,5
118,all_optical,mackey_glass,1.0,0.3,100,0.001,3.0,0.0405,0.0405,N/A,0.0063,0.0078,5,5
119,all_optical,narma10,1.0,0.3,100,0.001,3.0,0.8195,0.8195,N/A,0.0223,0.0276,5,5
120,serial_force,dual_timescale,1.0,0.3,300,1e-06,N/A,1.2332,0.8651,1.2332,0.4341,0.5390,5,5
121,serial_force,mackey_glass,1.0,0.3,300,1e-06,N/A,0.0145,0.0145,N/A,0.0030,0.0038,5,5
122,serial_force,narma10,1.0,0.3,300,1e-06,N/A,0.6871,0.6871,N/A,0.0507,0.0630,5,5
123,parallel,dual_timescale,1.0,0.3,300,1e-06,N/A,0.8610,0.5811,0.8610,0.0468,0.0581,5,5
124,parallel,mackey_glass,1.0,0.3,300,1e-06,N/A,0.0151,0.0151,N/A,0.0033,0.0041,5,5
