alpha,flatness,depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.15,0.006442689499030683,0.18,0.3551265534709498,2,esn_matched,0.33837240961902937,0.6021669859126952
0.15,0.006442689499030683,0.18,0.3551265534709498,3,serial_force,0.18285408658458738,0.6932962626780119
0.15,0.006442689499030683,0.18,0.3551265534709498,3,esn_matched,0.3406475658473838,0.6102194339626371
0.15,0.006442689499030683,0.18,0.3551265534709498,4,serial_force,0.17155155012195378,0.7102204524841339
0.15,0.006442689499030683,0.18,0.3551265534709498,4,esn_matched,0.3399251383695972,0.6462839616702701
0.15,0.006442689499030683,0.18,0.3551265534709498,5,serial_force,0.2593052482108507,0.6824411555989135
0.15,0.006442689499030683,0.18,0.3551265534709498,5,esn_matched,0.34630549104393654,0.6040774119693675
0.15,0.006442689499030683,0.18,0.3551265534709498,6,serial_force,0.27769255244328145,0.6854492510279535
0.15,0.006442689499030683,0.18,0.3551265534709498,6,esn_matched,0.37006462440046517,0.5559453011351518
0.15,0.006442689499030683,0.3,0.5870151327524181,1,serial_force,0.17599699627154636,0.7283053939126669
0.15,0.006442689499030683,0.3,0.5870151327524181,1,esn_matched,0.3314293854490749,0.6695363836174764
0.15,0.006442689499030683,0.3,0.5870151327524181,2,serial_force,0.17788126725865677,0.6920509045105249
0.15,0.006442689499030683,0.3,0.5870151327524181,2,esn_matched,0.33837240961902937,0.6367669251004994
0.15,0.006442689499030683,0.3,0.5870151327524181,3,serial_force,0.18285408658458738,0.7050813939265504
0.15,0.006442689499030683,0.3,0.5870151327524181,3,esn_matched,0.3406475658473838,0.6503825561678864
0.15,0.006442689499030683,0.3,0.5870151327524181,4,serial_force,0.17155155012195378,0.7161686198365522
0.15,0.006442689499030683,0.3,0.5870151327524181,4,esn_matched,0.3399251383695972,0.6797596486611385
0.15,0.006442689499030683,0.3,0.5870151327524181,5,serial_force,0.2593052482108507,0.6849961519363399
0.15,0.006442689499030683,0.3,0.5870151327524181,5,esn_matched,0.34630549104393654,0.6326043365124084
0.15,0.006442689499030683,0.3,0.5870151327524181,6,serial_force,0.27769255244328145,0.686183329504701
0.15,0.006442689499030683,0.3,0.5870151327524181,6,esn_matched,0.37006462440046517,0.5945186942987017
0.15,0.006442689499030683,0.5,0.9755781078444663,1,serial_force,0.17599699627154636,0.7449630565579883
0.15,0.006442689499030683,0.5,0.9755781078444663,1,esn_matched,0.3314293854490749,0.7476459682719763
0.15,0.006442689499030683,0.5,0.9755781078444663,2,serial_force,0.17788126725865677,0.7084689144411063
0.15,0.006442689499030683,0.5,0.9755781078444663,2,esn_matched,0.33837240961902937,0.7096420893532349
0.15,0.006442689499030683,0.5,0.9755781078444663,3,serial_force,0.18285408658458738,0.728714372557443
0.15,0.006442689499030683,0.5,0.9755781078444663,3,esn_matched,0.3406475658473838,0.7329129317963194
0.15,0.006442689499030683,0.5,0.9755781078444663,4,serial_force,0.17155155012195378,0.73316684250556
0.15,0.006442689499030683,0.5,0.9755781078444663,4,esn_matched,0.3399251383695972,0.7500949817152377
0.15,0.006442689499030683,0.5,0.9755781078444663,5,serial_force,0.2593052482108507,0.6975109478916602
0.15,0.006442689499030683,0.5,0.9755781078444663,5,esn_matched,0.34630549104393654,0.6952975777833806
0.15,0.006442689499030683,0.5,0.9755781078444663,6,serial_force,0.27769255244328145,0.6955063243306402
0.15,0.006442689499030683,0.5,0.9755781078444663,6,esn_matched,0.37006462440046517,0.6786693558496089
0.15,0.006442689499030683,1.0,1.9366064055309213,1,serial_force,0.17599699627154636,0.792133224042435
0.15,0.006442689499030683,1.0,1.9366064055309213,1,esn_matched,0.3314293854490749,0.933408183072929
0.15,0.006442689499030683,1.0,1.9366064055309213,2,serial_force,0.17788126725865677,0.7607335160614993
0.15,0.006442689499030683,1.0,1.9366064055309213,2,esn_matched,0.33837240961902937,0.8826894732730731
0.15,0.006442689499030683,1.0,1.9366064055309213,3,serial_force,0.18285408658458738,0.7850360183369115
0.15,0.006442689499030683,1.0,1.9366064055309213,3,esn_matched,0.3406475658473838,0.9237518026019487
0.15,0.006442689499030683,1.0,1.9366064055309213,4,serial_force,0.17155155012195378,0.7875146554290344
0.15,0.006442689499030683,1.0,1.9366064055309213,4,esn_matched,0.3399251383695972,0.917820410552931
0.15,0.006442689499030683,1.0,1.9366064055309213,5,serial_force,0.2593052482108507,0.7477446428831768
0.15,0.006442689499030683,1.0,1.9366064055309213,5,esn_matched,0.34630549104393654,0.8506946348830572
0.15,0.006442689499030683,1.0,1.9366064055309213,6,serial_force,0.27769255244328145,0.7397288666413094
0.15,0.006442689499030683,1.0,1.9366064055309213,6,esn_matched,0.37006462440046517,0.8808105096572113
0.3,0.017776575545030607,0.1,0.20029614495606507,1,serial_force,0.17852913822667357,0.7339918944463145
0.3,0.017776575545030607,0.1,0.20029614495606507,1,esn_matched,0.3381534970070215,0.6500272754604796
0.3,0.017776575545030607,0.1,0.20029614495606507,2,serial_force,0.17680138179545538,0.7013029066109644
0.3,0.017776575545030607,0.1,0.20029614495606507,2,esn_matched,0.33023523988890485,0.6204559674673523
0.3,0.017776575545030607,0.1,0.20029614495606507,3,serial_force,0.18293783766825608,0.6992680229285899
0.3,0.017776575545030607,0.1,0.20029614495606507,3,esn_matched,0.33853901111314755,0.6040384938984151
0.3,0.017776575545030607,0.1,0.20029614495606507,4,serial_force,0.1671925423418736,0.7149546264552229
0.3,0.017776575545030607,0.1,0.20029614495606507,4,esn_matched,0.3243462200972291,0.6648831799986128
0.3,0.017776575545030607,0.1,0.20029614495606507,5,serial_force,0.2583487530203722,0.685270351623481
0.3,0.017776575545030607,0.1,0.20029614495606507,5,esn_matched,0.3500690217322995,0.617549848879469
0.3,0.017776575545030607,0.1,0.20029614495606507,6,serial_force,0.2870103421927389,0.6990552399771987
0.3,0.017776575545030607,0.1,0.20029614495606507,6,esn_matched,0.373589026690579,0.6005627111710378
0.3,0.017776575545030607,0.18,0.3551265534709498,1,serial_force,0.17852913822667357,0.7370381032270023
0.3,0.017776575545030607,0.18,0.3551265534709498,1,esn_matched,0.3381534970070215,0.667929808015247
0.3,0.017776575545030607,0.18,0.3551265534709498,2,serial_force,0.17680138179545538,0.7035939907335137
0.3,0.017776575545030607,0.18,0.3551265534709498,2,esn_matched,0.33023523988890485,0.6369873385069431
0.3,0.017776575545030607,0.18,0.3551265534709498,3,serial_force,0.18293783766825608,0.7048135854101152
0.3,0.017776575545030607,0.18,0.3551265534709498,3,esn_matched,0.33853901111314755,0.6225886267907536
0.3,0.017776575545030607,0.18,0.3551265534709498,4,serial_force,0.1671925423418736,0.7164384241492151
0.3,0.017776575545030607,0.18,0.3551265534709498,4,esn_matched,0.3243462200972291,0.6799307561896245
0.3,0.017776575545030607,0.18,0.3551265534709498,5,serial_force,0.2583487530203722,0.6839611447162216
0.3,0.017776575545030607,0.18,0.3551265534709498,5,esn_matched,0.3500690217322995,0.6270671512382054
0.3,0.017776575545030607,0.18,0.3551265534709498,6,serial_force,0.2870103421927389,0.6961152358101387
0.3,0.017776575545030607,0.18,0.3551265534709498,6,esn_matched,0.373589026690579,0.6111390546148809
0.3,0.017776575545030607,0.3,0.5870151327524181,1,serial_force,0.17852913822667357,0.7439299644216769
0.3,0.017776575545030607,0.3,0.5870151327524181,1,esn_matched,0.3381534970070215,0.7038939874002323
0.3,0.017776575545030607,0.3,0.5870151327524181,2,serial_force,0.17680138179545538,0.7099923955894534
0.3,0.017776575545030607,0.3,0.5870151327524181,2,esn_matched,0.33023523988890485,0.6704707275148433
0.3,0.017776575545030607,0.3,0.5870151327524181,3,serial_force,0.18293783766825608,0.7154589077290974
0.3,0.017776575545030607,0.3,0.5870151327524181,3,esn_matched,0.33853901111314755,0.6595163882182058
0.3,0.017776575545030607,0.3,0.5870151327524181,4,serial_force,0.1671925423418736,0.7219568439599595
0.3,0.017776575545030607,0.3,0.5870151327524181,4,esn_matched,0.3243462200972291,0.7104851639973911
0.3,0.017776575545030607,0.3,0.5870151327524181,5,serial_force,0.2583487530203722,0.6856392234464638
0.3,0.017776575545030607,0.3,0.5870151327524181,5,esn_matched,0.3500690217322995,0.6492783892617812
0.3,0.017776575545030607,0.3,0.5870151327524181,6,serial_force,0.2870103421927389,0.6949609321629783
0.3,0.017776575545030607,0.3,0.5870151327524181,6,esn_matched,0.373589026690579,0.6371207919303133
0.3,0.017776575545030607,0.5,0.9755781078444663,1,serial_force,0.17852913822667357,0.759926636308519
0.3,0.017776575545030607,0.5,0.9755781078444663,1,esn_matched,0.3381534970070215,0.77763602321948
0.3,0.017776575545030607,0.5,0.9755781078444663,2,serial_force,0.17680138179545538,0.7267340869437545
0.3,0.017776575545030607,0.5,0.9755781078444663,2,esn_matched,0.33023523988890485,0.7396054559849424
0.3,0.017776575545030607,0.5,0.9755781078444663,3,serial_force,0.18293783766825608,0.7371164984079839
0.3,0.017776575545030607,0.5,0.9755781078444663,3,esn_matched,0.33853901111314755,0.7344369160694545
0.3,0.017776575545030607,0.5,0.9755781078444663,4,serial_force,0.1671925423418736,0.7381595101644469
0.3,0.017776575545030607,0.5,0.9755781078444663,4,esn_matched,0.3243462200972291,0.7740538707066189
0.3,0.017776575545030607,0.5,0.9755781078444663,5,serial_force,0.2583487530203722,0.6969257589084
0.3,0.017776575545030607,0.5,0.9755781078444663,5,esn_matched,0.3500690217322995,0.700403904271947
0.3,0.017776575545030607,0.5,0.9755781078444663,6,serial_force,0.2870103421927389,0.701097478981535
