architecture,interaction,timescale,seed,nrmse_slow,nrmse_fast
parallel_bilinear,0.0,separated,3,0.20374082882930883,0.8095311495255765
parallel_bilinear,0.0,separated,4,0.18293795983801042,0.8134055326253913
parallel_bilinear,0.0,similar,1,0.09238628496855567,0.8644434850865468
parallel_bilinear,0.0,similar,2,0.0893107772647291,0.8259385930178464
parallel_bilinear,0.0,similar,3,0.08469249935548162,0.8290491230294729
parallel_bilinear,0.0,similar,4,0.11732701497915192,0.8399128280802257
parallel_bilinear,0.5,separated,1,0.20511536952591003,0.844503377408089
parallel_bilinear,0.5,separated,2,0.2616750891638131,0.8285375363647282
parallel_bilinear,0.5,separated,3,0.20374082882930883,0.8320809209404112
parallel_bilinear,0.5,separated,4,0.18293795983801042,0.8326164245007178
parallel_bilinear,0.5,similar,1,0.09238628496855567,0.8712430488610454
parallel_bilinear,0.5,similar,2,0.0893107772647291,0.8197666834246112
parallel_bilinear,0.5,similar,3,0.08469249935548162,0.8399474021918129
parallel_bilinear,0.5,similar,4,0.11732701497915192,0.8524670776146425
parallel_bilinear,1.0,separated,1,0.20511536952591003,0.894527908222741
parallel_bilinear,1.0,separated,2,0.2616750891638131,0.8865348671070679
parallel_bilinear,1.0,separated,3,0.20374082882930883,0.9130988962516341
parallel_bilinear,1.0,separated,4,0.18293795983801042,0.8959750006791067
parallel_bilinear,1.0,similar,1,0.09238628496855567,0.8916087222974856
parallel_bilinear,1.0,similar,2,0.0893107772647291,0.8311223416542504
parallel_bilinear,1.0,similar,3,0.08469249935548162,0.8743953958979812
parallel_bilinear,1.0,similar,4,0.11732701497915192,0.8922866653038071
mutual,0.0,separated,1,0.18641716004792247,0.8317992531649618
mutual,0.0,separated,2,0.2701265746150793,0.8309789641268799
mutual,0.0,separated,3,0.17788051049454434,0.7973531600670125
mutual,0.0,separated,4,0.1960378835061669,0.8120273737894929
mutual,0.0,similar,1,0.11670588375529203,0.8846519398081161
mutual,0.0,similar,2,0.10636880884831754,0.83988259272293
mutual,0.0,similar,3,0.10226147954133326,0.8360927630762505
mutual,0.0,similar,4,0.1382836480122884,0.8365650170165301
mutual,0.5,separated,1,0.18641716004792247,0.8465496095364069
mutual,0.5,separated,2,0.2701265746150793,0.8398455677574289
mutual,0.5,separated,3,0.17788051049454434,0.8186038417097717
mutual,0.5,separated,4,0.1960378835061669,0.8317187944432028
mutual,0.5,similar,1,0.11670588375529203,0.888473736509863
mutual,0.5,similar,2,0.10636880884831754,0.8338340501513868
mutual,0.5,similar,3,0.10226147954133326,0.8467566710663695
mutual,0.5,similar,4,0.1382836480122884,0.8485305625363443
mutual,1.0,separated,1,0.18641716004792247,0.9150750439361085
mutual,1.0,separated,2,0.2701265746150793,0.9022622044989003
mutual,1.0,separated,3,0.17788051049454434,0.9046152946746641
mutual,1.0,separated,4,0.1960378835061669,0.9097096867080744
mutual,1.0,similar,1,0.11670588375529203,0.899768719468006
mutual,1.0,similar,2,0.10636880884831754,0.8404856069111176
mutual,1.0,similar,3,0.10226147954133326,0.8780151617560836
mutual,1.0,similar,4,0.1382836480122884,0.8885445747585626
